user_id,course_id,rating
UID0001293,CID0001,5
UID0000806,CID0001,3
UID0000238,CID0001,4
UID0001129,CID0001,5
UID0001544,CID0001,3
UID0000532,CID0001,5
UID0000029,CID0001,4
UID0002185,CID0001,4
UID0000932,CID0001,4
UID0001980,CID0001,3
UID0000446,CID0001,3
UID0000432,CID0001,3
UID0001142,CID0001,4
UID0001121,CID0001,5
UID0001615,CID0001,4
UID0002054,CID0001,5
UID0000134,CID0001,5
UID0001486,CID0001,5
UID0000845,CID0001,3
UID0001256,CID0001,4
UID0001015,CID0001,2
UID0000025,CID0001,4
UID0000199,CID0001,3
UID0002326,CID0001,5
UID0000917,CID0001,4
UID0000839,CID0001,3
UID0001716,CID0001,2
UID0000313,CID0001,4
UID0001423,CID0001,5
UID0001609,CID0001,3
UID0001084,CID0001,3
UID0000056,CID0001,5
UID0000920,CID0001,4
UID0002320,CID0001,4
UID0001320,CID0001,4
UID0000155,CID0001,2
UID0000634,CID0001,5
UID0000289,CID0001,4
UID0000034,CID0001,4
UID0001862,CID0001,5
UID0001783,CID0001,3
UID0000118,CID0001,3
UID0000569,CID0001,4
UID0001613,CID0001,5
UID0001556,CID0001,4
UID0000860,CID0001,4
UID0002328,CID0001,5
UID0000263,CID0001,3
UID0001139,CID0001,5
UID0000405,CID0001,3
UID0000906,CID0001,5
UID0000611,CID0001,2
UID0000259,CID0001,4
UID0002232,CID0001,5
UID0001824,CID0001,4
UID0002179,CID0001,4
UID0001492,CID0001,3
UID0000021,CID0001,1
UID0001826,CID0001,3
UID0001490,CID0001,2
UID0000840,CID0001,5
UID0000587,CID0001,5
UID0000144,CID0001,5
UID0000690,CID0001,5
UID0001267,CID0001,2
UID0000494,CID0001,5
UID0002274,CID0001,4
UID0001740,CID0001,4
UID0001393,CID0001,4
UID0001985,CID0001,5
UID0000635,CID0001,5
UID0000266,CID0001,5
UID0000999,CID0001,3
UID0000322,CID0001,2
UID0000765,CID0001,5
UID0001063,CID0001,4
UID0002087,CID0001,5
UID0000981,CID0001,5
UID0000620,CID0001,4
UID0001779,CID0001,4
UID0001755,CID0001,5
UID0000809,CID0001,4
UID0000063,CID0001,5
UID0001336,CID0001,3
UID0001007,CID0001,4
UID0000665,CID0001,4
UID0000328,CID0001,3
UID0000989,CID0001,4
UID0001727,CID0001,4
UID0000248,CID0001,4
UID0000068,CID0001,5
UID0001673,CID0001,4
UID0002010,CID0001,5
UID0001939,CID0001,3
UID0002236,CID0001,1
UID0002115,CID0001,3
UID0000379,CID0001,5
UID0001288,CID0001,5
UID0000988,CID0001,5
UID0000836,CID0001,4
UID0002263,CID0001,3
UID0001694,CID0001,2
UID0001529,CID0001,5
UID0001538,CID0001,4
UID0000915,CID0001,4
UID0000995,CID0001,1
UID0001115,CID0001,4
UID0002244,CID0001,5
UID0001791,CID0001,4
UID0002027,CID0001,5
UID0001850,CID0001,5
UID0000763,CID0001,5
UID0002306,CID0001,4
UID0001774,CID0001,3
UID0001284,CID0001,5
UID0000334,CID0001,5
UID0000348,CID0001,4
UID0000254,CID0001,5
UID0000294,CID0001,4
UID0001324,CID0001,4
UID0001502,CID0001,5
UID0001821,CID0001,3
UID0000643,CID0001,4
UID0001054,CID0001,5
UID0000648,CID0001,4
UID0001517,CID0001,3
UID0001376,CID0001,3
UID0000038,CID0001,5
UID0000919,CID0001,3
UID0001268,CID0001,4
UID0000007,CID0001,4
UID0000830,CID0001,5
UID0000015,CID0001,4
UID0001924,CID0001,4
UID0000391,CID0001,5
UID0001693,CID0001,5
UID0000129,CID0001,5
UID0002268,CID0001,4
UID0001251,CID0001,4
UID0001809,CID0001,5
UID0001992,CID0001,5
UID0002088,CID0001,5
UID0001380,CID0001,2
UID0000743,CID0001,3
UID0001802,CID0001,5
UID0002008,CID0001,4
UID0000964,CID0001,5
UID0001093,CID0001,3
UID0001770,CID0001,4
UID0000197,CID0001,4
UID0001497,CID0001,3
UID0002203,CID0001,5
UID0000704,CID0001,4
UID0000748,CID0001,4
UID0000094,CID0001,2
UID0001936,CID0001,3
UID0000003,CID0001,1
UID0000444,CID0001,2
UID0001918,CID0001,4
UID0001664,CID0001,5
UID0000008,CID0001,4
UID0002194,CID0001,2
UID0000264,CID0001,1
UID0001210,CID0001,5
UID0001739,CID0001,5
UID0000605,CID0001,2
UID0001574,CID0001,4
UID0001060,CID0001,5
UID0000200,CID0001,3
UID0000671,CID0001,3
UID0000498,CID0001,3
UID0000067,CID0001,4
UID0001896,CID0001,4
UID0001634,CID0001,4
UID0001151,CID0001,4
UID0000183,CID0001,5
UID0002291,CID0001,5
UID0000053,CID0001,5
UID0001764,CID0001,4
UID0002199,CID0001,5
UID0001990,CID0001,4
UID0002072,CID0001,4
UID0000967,CID0001,4
UID0002030,CID0001,4
UID0001075,CID0001,3
UID0002075,CID0001,4
UID0000680,CID0001,5
UID0001514,CID0001,5
UID0000059,CID0001,4
UID0001309,CID0001,2
UID0001639,CID0001,4
UID0001679,CID0001,5
UID0000755,CID0001,4
UID0002261,CID0001,4
UID0001736,CID0001,3
UID0001126,CID0001,5
UID0000781,CID0001,4
UID0000629,CID0001,5
UID0001020,CID0001,5
UID0001325,CID0001,3
UID0001370,CID0001,3
UID0000651,CID0001,4
UID0001216,CID0001,5
UID0002217,CID0001,5
UID0001550,CID0001,5
UID0000725,CID0001,4
UID0001564,CID0001,3
UID0001300,CID0001,3
UID0002243,CID0001,4
UID0001106,CID0001,4
UID0002281,CID0001,3
UID0000791,CID0001,4
UID0000162,CID0001,4
UID0002147,CID0001,4
UID0001240,CID0001,5
UID0001085,CID0001,5
UID0001875,CID0001,4
UID0000225,CID0001,4
UID0000124,CID0001,2
UID0001636,CID0001,5
UID0001732,CID0001,4
UID0000335,CID0001,4
UID0000757,CID0001,5
UID0000082,CID0001,4
UID0001277,CID0001,4
UID0000610,CID0001,4
UID0000683,CID0001,5
UID0000339,CID0001,4
UID0001537,CID0001,5
UID0001861,CID0001,4
UID0000104,CID0001,4
UID0001589,CID0001,5
UID0001505,CID0001,4
UID0001027,CID0001,4
UID0000804,CID0001,5
UID0000485,CID0001,5
UID0000127,CID0001,5
UID0000190,CID0001,3
UID0001496,CID0001,3
UID0002168,CID0001,5
UID0001384,CID0001,5
UID0001403,CID0001,3
UID0001372,CID0001,2
UID0000074,CID0001,4
UID0001941,CID0001,5
UID0001641,CID0001,3
UID0000194,CID0001,3
UID0001008,CID0001,5
UID0001353,CID0001,3
UID0001494,CID0001,3
UID0001205,CID0001,5
UID0001148,CID0001,4
UID0000436,CID0001,5
UID0001638,CID0001,4
UID0001133,CID0001,4
UID0000458,CID0001,3
UID0000566,CID0001,4
UID0001206,CID0001,4
UID0001072,CID0001,5
UID0001677,CID0001,5
UID0001420,CID0001,4
UID0000480,CID0001,3
UID0000077,CID0001,4
UID0001128,CID0001,4
UID0002226,CID0001,1
UID0000645,CID0001,5
UID0001297,CID0001,4
UID0001107,CID0001,4
UID0001366,CID0001,3
UID0000423,CID0001,2
UID0000106,CID0001,4
UID0000102,CID0001,5
UID0000252,CID0001,3
UID0002063,CID0001,4
UID0000210,CID0001,3
UID0000172,CID0001,5
UID0000963,CID0001,5
UID0000554,CID0001,4
UID0001713,CID0001,4
UID0001554,CID0001,4
UID0001183,CID0001,3
UID0000497,CID0001,3
UID0000011,CID0001,4
UID0000689,CID0001,4
UID0000960,CID0001,4
UID0000235,CID0001,3
UID0001097,CID0001,4
UID0000096,CID0001,5
UID0001081,CID0001,4
UID0000097,CID0001,4
UID0000168,CID0001,4
UID0001731,CID0001,5
UID0002298,CID0001,4
UID0002336,CID0001,5
UID0000195,CID0001,5
UID0000899,CID0001,5
UID0001162,CID0001,4
UID0000372,CID0001,2
UID0002295,CID0001,2
UID0000470,CID0001,3
UID0001409,CID0001,5
UID0001446,CID0001,3
UID0000991,CID0001,5
UID0002031,CID0001,4
UID0001953,CID0001,4
UID0001025,CID0001,2
UID0002237,CID0001,2
UID0001840,CID0001,5
UID0001070,CID0001,4
UID0000109,CID0001,5
UID0000022,CID0001,4
UID0001012,CID0001,4
UID0002033,CID0001,5
